season,through_week,team,metric,family,direction,phase3_status,n_games,n_opportunities,raw_value,ref_mean,ref_sd,ref_seasons,k,shrunk_value,z_raw,z_shrunk,oriented_z_shrunk,rank_of_league,percentile,confidence,in_index,shrunk_prev_week,shrunk_preseason,delta_shrunk_vs_prev_week,delta_shrunk_vs_preseason
2026,0,LV,pass_protection.qb_hit_rate_allowed,pass_protection,lower_better,UNVALIDATED_RANK_PERSISTENT,17,598,0.18896321070234115,0.14499729036016004,0.03272124457668314,"2023,2024,2025",8,0.1748941161928432,1.3436506132627615,0.9136824170186779,-0.9136824170186779,27,0.16129032258064516,prior_season_only,true,0.1748941161928432,0.1748941161928432,0.0,0.0
2026,0,LV,pass_protection.rush_stuffed_rate_approx,pass_protection,lower_better,RANK_PERSISTENT,17,598,0.2885714285714286,0.20453393402173106,0.032349993802877404,"2023,2024,2025",16,0.24782597666854495,2.5977592163316805,1.3382395962920781,-1.3382395962920781,32,0.0,prior_season_only,false,0.24782597666854495,0.24782597666854495,0.0,0.0
2026,0,LV,pass_protection.sack_rate_allowed,pass_protection,lower_better,UNVALIDATED_RANK_PERSISTENT,17,598,0.10702341137123746,0.06640532746445256,0.01878109141151444,"2023,2024,2025",8,0.09402562452106629,2.1627115813877826,1.4706438753436921,-1.4706438753436921,32,0.0,prior_season_only,true,0.09402562452106629,0.09402562452106629,0.0,0.0
2026,0,LV,pass_rush.qb_hit_rate_generated,pass_rush,higher_better,RANK_PERSISTENT,17,590,0.13728813559322034,0.1441739694155678,0.023402668900553904,"2023,2024,2025",16,0.14062672168890394,-0.2942328437669975,-0.1515744952739081,-0.1515744952739081,22,0.3225806451612903,prior_season_only,true,0.14062672168890394,0.14062672168890394,0.0,0.0
2026,0,LV,pass_rush.sack_rate_generated,pass_rush,higher_better,NOT_RANK_PERSISTENT,17,590,0.06271186440677966,0.06604664154487218,0.012051753475340252,"2023,2024,2025",14,0.06421789279172467,-0.2767047255750783,-0.15174130112181683,-0.15174130112181683,18,0.45161290322580644,prior_season_only,true,0.06421789279172467,0.06421789279172467,0.0,0.0
2026,0,LV,special_teams.fg_pct,special_teams,higher_better,NOT_RANK_PERSISTENT,17,217,0.8148148148148148,0.8507127173905934,0.06913215135025523,"2023,2024,2025",16,0.8322198584879196,-0.5192649422105117,-0.26750012174480886,-0.26750012174480886,25,0.22580645161290322,prior_season_only,false,0.8322198584879196,0.8322198584879196,0.0,0.0
2026,0,LV,special_teams.st_epa_per_play,special_teams,higher_better,RANK_PERSISTENT,17,217,0.036555277674538825,0.06223172610307078,0.09283786774459722,"2023,2024,2025",16,0.0490044647914028,-0.2765730089705364,-0.14247700462118543,-0.14247700462118543,24,0.25806451612903225,prior_season_only,true,0.0490044647914028,0.0490044647914028,0.0,0.0
2026,0,LV,team_defense.early_down_epa_per_play,team_defense,lower_better,RANK_PERSISTENT,17,1096,-0.02591205896345642,-0.0013076969094549817,0.06388279864549935,"2023,2024,2025",16,-0.01398267130091027,-0.3851484683777995,-0.19840981704310884,0.19840981704310884,13,0.6129032258064516,prior_season_only,true,-0.01398267130091027,-0.01398267130091027,0.0,0.0
2026,0,LV,team_defense.epa_per_play,team_defense,lower_better,RANK_PERSISTENT,17,1096,0.030404557061552245,0.004591155429042401,0.06774676986235148,"2023,2024,2025",16,0.01788896839124444,0.38102778457124603,0.19628704053670248,-0.19628704053670248,20,0.3870967741935484,prior_season_only,true,0.01788896839124444,0.01788896839124444,0.0,0.0
2026,0,LV,team_defense.explosive_pass_rate,team_defense,lower_better,NOT_RANK_PERSISTENT,17,1096,0.06271186440677966,0.07968322075124035,0.01121813986620499,"2023,2024,2025",14,0.07037634791718125,-1.5128494159345838,-0.8296270990609013,0.8296270990609013,3,0.9354838709677419,prior_season_only,false,0.07037634791718125,0.07037634791718125,0.0,0.0
