family,metric,window,n,placebo_skill_vs_league_mean,placebo_skill_vs_league_p95_abs,placebo_spearman_mean,placebo_spearman_p95_abs,n_permutations
team_offense,explosive_rush_rate,season_to_date,2870,-0.07128732700004062,0.08377332151730128,-0.0006251852046212508,0.04206040900901217,20
team_offense,explosive_rush_rate,trailing_3,2870,-0.1601540630474224,0.17897908971273588,0.00717986830175327,0.0397929587953805,20
team_offense,explosive_rush_rate,trailing_5,2870,-0.10609649963162315,0.11911341271720385,0.0036639909865812115,0.047038797731164525,20
team_offense,explosive_rush_rate,prior_season,2870,-0.046695852142948316,0.05252050703135911,0.0030383335210815883,0.020651305822585134,20
team_offense,proe,season_to_date,2870,-0.13511876119282187,0.1460540755163207,-0.0015412747092684092,0.03416655165031782,20
team_offense,proe,trailing_3,2870,-0.22521614539081095,0.241528950360761,0.0022044216986292324,0.030191961255125663,20
team_offense,proe,trailing_5,2870,-0.18046994777965897,0.19485700463641886,-0.0018070214664650535,0.029091103863305542,20
team_offense,proe,prior_season,2870,-0.13023994314973564,0.14070955045610514,0.0012537992308345677,0.023532894189092334,20
team_defense,epa_per_play,season_to_date,2870,-0.07888735231915694,0.08989070916005777,0.006292224526415542,0.03112468418029649,20
team_defense,epa_per_play,trailing_3,2870,-0.16472001390159888,0.1782707391563312,0.002698764497699255,0.022806666984003035,20
team_defense,epa_per_play,trailing_5,2870,-0.11222347437485292,0.12452945090152912,0.005522064140801426,0.034151855369957525,20
team_defense,epa_per_play,prior_season,2870,-0.04583780383374493,0.05249522841306847,0.007079251836077871,0.04438810671066909,20
team_defense,success_rate,season_to_date,2870,-0.08020495809366154,0.09323225194755642,0.005929176545975535,0.037456371309974736,20
team_defense,success_rate,trailing_3,2870,-0.1698966817914538,0.1824370264823727,0.005088703655196024,0.03961013726160779,20
team_defense,success_rate,trailing_5,2870,-0.1150570692955076,0.12934745082234966,0.005766475604818893,0.038100081110621846,20
team_defense,success_rate,prior_season,2870,-0.05074962241097214,0.05760090202904024,-0.002476576680867729,0.023297444539584874,20
team_defense,pass_epa_per_dropback,season_to_date,2870,-0.07417200297692042,0.08552689949752872,0.005908763490194998,0.03538571025257542,20
team_defense,pass_epa_per_dropback,trailing_3,2870,-0.1621916554756701,0.18059085957536847,0.0018534192259296992,0.03787245837235269,20
team_defense,pass_epa_per_dropback,trailing_5,2870,-0.10841506555480493,0.12492774136926685,0.0029642234110402723,0.03545882919091672,20
team_defense,pass_epa_per_dropback,prior_season,2870,-0.0398740452078162,0.04763852069163739,0.005634856495478772,0.0467201874003856,20
team_defense,pass_success_rate,season_to_date,2870,-0.0774923051082647,0.0868376580876928,0.004199954164527174,0.03466932077940214,20
team_defense,pass_success_rate,trailing_3,2870,-0.16665597046301275,0.18555301425136636,-0.00046176969191789906,0.055338668556380234,20
team_defense,pass_success_rate,trailing_5,2870,-0.11093103715990163,0.12297704549614621,0.00033080903713614724,0.032497171501375544,20
team_defense,pass_success_rate,prior_season,2870,-0.042177978950333685,0.049466538907267314,-0.002560368760745691,0.0323480549069477,20
team_defense,rush_epa_per_play,season_to_date,2870,-0.0667050054056358,0.0748637742194984,-0.0014652269260665436,0.025366589702255235,20
team_defense,rush_epa_per_play,trailing_3,2870,-0.15438464416693085,0.1654204688450935,-0.0024445539313706047,0.030305705187427118,20
team_defense,rush_epa_per_play,trailing_5,2870,-0.10006534533929727,0.10756294025730358,-0.0024914785966145283,0.02788144824535686,20
team_defense,rush_epa_per_play,prior_season,2870,-0.03952841961217444,0.046346926421396255,0.004174921723749262,0.029724912048518033,20
team_defense,rush_success_rate,season_to_date,2870,-0.07409347363052605,0.08381152532068765,0.0012051144820128309,0.027125459442454928,20
team_defense,rush_success_rate,trailing_3,2870,-0.16229137123258436,0.17705469445574015,0.0007857403245298732,0.043783368876694144,20
team_defense,rush_success_rate,trailing_5,2870,-0.10594051288797379,0.11936948334307067,0.00044496459554205415,0.028786857704884896,20
team_defense,rush_success_rate,prior_season,2870,-0.04596966429227874,0.052302017987054784,-0.001608792659480664,0.03388844410486095,20
team_defense,early_down_epa_per_play,season_to_date,2870,-0.07843206997556786,0.09168104175791772,0.005648567061014907,0.03746927093299865,20
team_defense,early_down_epa_per_play,trailing_3,2870,-0.16789781594164496,0.18060336503489774,0.0009718692326810598,0.030062959618772315,20
team_defense,early_down_epa_per_play,trailing_5,2870,-0.11270688903056954,0.12544356563906675,0.000944732087580102,0.041566724436073156,20
team_defense,early_down_epa_per_play,prior_season,2870,-0.045568346642079385,0.05197020566734305,0.0037567783836487795,0.02791966297532747,20
