family,entity_type,source,metric,window,target_horizon,season_phase,n,n_entities,n_seasons,opportunity_n_median,target_mean,target_sd,rmse,mae,bias,spearman,pearson,rmse_league,rmse_prior_season,rmse_raw_trailing3,skill_vs_league,skill_vs_prior_season,skill_vs_raw_trailing3,n_prior_season,excluded_target_rate,skill_vs_league_ci_lo,skill_vs_league_ci_hi,skill_vs_prior_season_ci_lo,skill_vs_prior_season_ci_hi,spearman_ci_lo,spearman_ci_hi,bootstrap_iterations,bootstrap_method
team_defense,team,pbp,success_rate,trailing_5,2,wk5_9,1006,32,7,324.0,0.4414099959378073,0.052988292838744615,0.05796971115922474,0.04641589351244,0.004020336853678283,0.21850371337611876,0.22523621727624263,0.05367417895176883,0.056232200896804044,0.06221641629034194,-0.08002977020507074,-0.030898848608279295,0.06825698721217466,1006,0.0,,,,,,,,
team_defense,team,pbp,success_rate,trailing_5,4,early,892,32,7,324.0,0.44483625645887265,0.0411248368145047,0.04773226348890606,0.03739182056019569,-0.00020516937296922308,0.2631074925703301,0.2670723473739246,0.041969116344089966,0.0423237590799994,0.05448112719368771,-0.13731876310108815,-0.1277888478356477,0.12387525832181367,892,0.0,,,,,,,,
team_defense,team,pbp,success_rate,trailing_5,4,primary_wk5_18_h4,2351,32,7,325.0,0.43836099476055157,0.04074447108497075,0.04855805108912195,0.03863551335818141,0.0022830340814426497,0.23500817641553848,0.22909437302975932,0.04179845108663481,0.045106415560937536,0.053780018002779054,-0.16171891126962223,-0.07652205313280436,0.0970986456975016,2351,NaN,-0.22134980028252563,-0.10759510908738174,-0.13999860186637872,-0.014396120458166253,0.16531960240703747,0.30322108862051794,1000,multiplier_cluster_exponential
team_defense,team,pbp,success_rate,trailing_5,4,wk10_14,1014,32,7,325.0,0.43815417115056254,0.041344563559515074,0.04881921748459123,0.03896306671352934,0.0008973105469950558,0.21861308570534257,0.21755991687711404,0.0424892099888503,0.045499119289147794,0.0554488482089177,-0.1489791760638055,-0.07297060354826113,0.11956300154960187,1014,0.0,,,,,,,,
team_defense,team,pbp,success_rate,trailing_5,4,wk15_18,331,32,7,325.0,0.4353036031095133,0.04104176084319268,0.04953933763478689,0.03905594761120908,-0.0043277886745568105,0.1829548349950199,0.16195207652842167,0.04242367961328416,0.046668028724840764,0.052698377881349054,-0.1677284499215057,-0.06152625230595543,0.0599456828381848,331,0.6105882352941177,,,,,,,,
team_defense,team,pbp,success_rate,trailing_5,4,wk5_9,1006,32,7,324.0,0.4395754239623633,0.0400147545065793,0.04796433930997123,0.038167021469438914,0.0058549088291222524,0.2607149496564315,0.25640559312847133,0.040879080109094586,0.04417657653965167,0.05240658988178211,-0.17332237374148618,-0.08574142830918019,0.08476511411697707,1006,0.0,,,,,,,,
team_offense,team,pbp,early_down_epa_per_play,prior_season,1,early,892,32,7,1112.0,0.00572200518901239,0.18782845609700302,0.1889614705393261,0.14903163206655917,-0.0005132024822540948,0.17428796964196863,0.17570165366595408,0.18783841576297178,0.1889614705393261,0.20484941535772916,-0.005978834370981234,0.0,0.07755914162926891,892,0.0,,,,,,,,
team_offense,team,pbp,early_down_epa_per_play,prior_season,1,primary_wk5_18_h1,2870,32,7,1112.0,-0.0012215083300546041,0.18560707636024026,0.1908147621918631,0.1507640565925908,0.006200112758263592,0.11720773043722667,0.12400514995116686,0.1865010347658676,0.1908147621918631,0.19856291877800597,-0.023129777437486787,0.0,0.03902116585426163,2870,NaN,-0.04603649060390546,-0.0033006122527537286,0.0,0.0,0.06333469990257035,0.1680319325882009,1000,multiplier_cluster_exponential
team_offense,team,pbp,early_down_epa_per_play,prior_season,1,wk10_14,1014,32,7,1115.0,-0.011473681399982807,0.1853475717276026,0.1920154913940564,0.1511248990807793,0.017137840893794155,0.10068640710665738,0.10949432060372132,0.186589888455579,0.1920154913940564,0.19868741212796256,-0.029077690025893776,0.0,0.03357998708850851,1014,0.0,,,,,,,,
team_offense,team,pbp,early_down_epa_per_play,prior_season,1,wk15_18,850,32,7,1116.0,-0.0030475918293371563,0.19219493237010082,0.1957044593238203,0.15409127716174406,0.00808835956274883,0.13983284975847313,0.14099363093109368,0.19334143991689445,0.1957044593238203,0.20035860204571054,-0.012222001697833385,0.0,0.02322906366070787,850,0.0,,,,,,,,
team_offense,team,pbp,early_down_epa_per_play,prior_season,1,wk5_9,1006,32,7,1111.0,0.010655106448571013,0.17961888564003334,0.18533768157838593,0.14758907471704064,-0.006420032483526114,0.11663817801663538,0.12547938544189158,0.18042688009454438,0.18533768157838593,0.1969063984272857,-0.027217682206045257,0.0,0.058752366308563064,1006,0.0,,,,,,,,
team_offense,team,pbp,early_down_epa_per_play,prior_season,2,early,892,32,7,1112.0,0.011047449603235698,0.13723246446861595,0.1395445803318493,0.10976590338218767,-0.005838646896477403,0.2347048995420234,0.2323863681451607,0.13748159890192185,0.1395445803318493,0.1583943053429915,-0.015005509438387854,0.0,0.11900506757692131,892,0.0,,,,,,,,
team_offense,team,pbp,early_down_epa_per_play,prior_season,2,primary_wk5_18_h2,2732,32,7,1115.0,0.002010143574677064,0.1380279622117431,0.14527961068231937,0.1158991661246685,0.003615824536747509,0.15211075982124947,0.1606374263063903,0.13913286811188655,0.14527961068231937,0.156673110800342,-0.04417893955502872,0.0,0.07272147760276515,2732,NaN,-0.08504608072977425,-0.008714551155097436,-2.220446049250313e-16,0.0,0.0824692759820809,0.21890977733536182,1000,multiplier_cluster_exponential
team_offense,team,pbp,early_down_epa_per_play,prior_season,2,wk10_14,1014,32,7,1115.0,-0.007823929924869985,0.13643833671878358,0.1444919797236193,0.11479900103670733,0.013488089418681333,0.14995494920135077,0.15677031263455962,0.13798666957075262,0.1444919797236193,0.15304921047703388,-0.0471444826743288,0.0,0.05591162951277462,1014,0.0,,,,,,,,
team_offense,team,pbp,early_down_epa_per_play,prior_season,2,wk15_18,712,32,7,1123.0,0.007566728388919318,0.1458247249468333,0.14962572345610375,0.12058423257727681,-0.000029926780981042353,0.18031975405252995,0.19319899143319563,0.14698969108848792,0.14962572345610375,0.16180579408958914,-0.0179334506256561,0.0,0.07527586204200754,712,0.1623529411764706,,,,,,,,
team_offense,team,pbp,early_down_epa_per_play,prior_season,2,wk5_9,1006,32,7,1111.0,0.007989728207679271,0.13344832474473214,0.1429303728098539,0.11369220795860047,-0.0037546542426343693,0.1349629593527778,0.1409841879970571,0.13448819641674345,0.1429303728098539,0.1565913853131828,-0.06277261959072145,0.0,0.08723987258945876,1006,0.0,,,,,,,,
team_offense,team,pbp,early_down_epa_per_play,prior_season,4,early,892,32,7,1112.0,0.013165194521993254,0.10511427286810376,0.11070781716287831,0.08753659294265777,-0.007956391815234954,0.2756697887435714,0.2685989076157098,0.10574265981768521,0.11070781716287831,0.13635545327266918,-0.04695510169456396,0.0,0.1880939521978886,892,0.0,,,,,,,,
team_offense,team,pbp,early_down_epa_per_play,prior_season,4,primary_wk5_18_h4,2351,32,7,1117.0,0.004410201587399461,0.10843413949265002,0.11723972857501012,0.09450881533737679,0.0021134176097200377,0.19526454222692907,0.20854908956538126,0.10987135225348749,0.11723972857501012,0.13009332747369065,-0.06706367192535168,0.0,0.09880290671541136,2351,NaN,-0.13357914207440388,-0.009335663788065829,-2.220446049250313e-16,0.0,0.10507827966509452,0.2824896247478517,1000,multiplier_cluster_exponential
