family,metric,stage,horizon,n,spearman,skill_vs_reference,skill_vs_reference_ci_lo,skill_vs_reference_ci_hi,skill_vs_league,skill_vs_prior_season,reference_col
qb,epa_per_dropback,oppadj_shrunk,2,2420,0.22500358529205858,-0.029042318982791526,-0.04494028308784474,-0.013400323784959823,0.029869383094618174,0.05920659295064035,shrunk_feature
qb,epa_per_dropback,oppadj_shrunk,4,1881,0.26632755420968857,-0.04872872758657576,-0.07934040520384716,-0.021632046047452686,0.055767160439546326,0.1045571915684923,shrunk_feature
qb,explosive_pass_rate,oppadj_raw,2,2420,0.15638563662592203,-0.03506509631432486,-0.05275098213253955,-0.016835823609436876,-0.011314768158520616,0.04298582619104996,shrunk_feature
qb,explosive_pass_rate,oppadj_raw,4,1881,0.21200435451018265,-0.05624532589331732,-0.09757445780518674,-0.023349114551073805,-0.012966733152706356,0.0734646620743068,shrunk_feature
qb,explosive_pass_rate,oppadj_shrunk,2,2420,0.1308560346406082,-0.012871522032709137,-0.022792603765752577,-0.003139139409568083,0.010369558275770907,0.07076991269803079,shrunk_feature
qb,explosive_pass_rate,oppadj_shrunk,4,1881,0.17745409187175523,-0.02294996717003528,-0.04212504439163774,-0.0035563425854203317,0.01896438164446046,0.1135416731119071,shrunk_feature
qb,sack_rate,oppadj_raw,2,2420,0.3078980998335227,-0.026462435217140534,-0.04511101773125212,-0.008412292419149509,0.03740905702564168,0.06147628046524656,shrunk_feature
qb,sack_rate,oppadj_raw,4,1881,0.40159470700834443,-0.04109103585477136,-0.07863017065364951,-0.0025116591547439853,0.07307429255991227,0.11706928009541917,shrunk_feature
qb,sack_rate,oppadj_shrunk,2,2420,0.2864892846833999,-0.03200991057360136,-0.050293976596493546,-0.014621558426618247,0.03220677260558591,0.05800207558238912,shrunk_feature
qb,sack_rate,oppadj_shrunk,4,1881,0.3717889048485504,-0.05503975777472747,-0.08983374240459527,-0.02251760214358418,0.060655177911667524,0.10889300638522559,shrunk_feature
qb,yards_per_attempt,oppadj_raw,2,2420,0.23603237929701246,-0.011184912084461818,-0.024072070562858056,0.0008030206368142795,0.03288202443456545,0.07499092524877604,shrunk_feature
qb,yards_per_attempt,oppadj_raw,4,1881,0.31678778134943864,-0.015119902722557033,-0.039002562633048694,0.009952278714319975,0.06241648206448336,0.12892720772478572,shrunk_feature
qb,yards_per_attempt,oppadj_shrunk,2,2420,0.19138236724175237,-0.02377098459234639,-0.038533821380895096,-0.01103945173468671,0.020844446718880083,0.06585234437360987,shrunk_feature
qb,yards_per_attempt,oppadj_shrunk,4,1881,0.24590441029386986,-0.04291500022702177,-0.0681288773570438,-0.017518106767801963,0.036744415907861816,0.11032392553533255,shrunk_feature
rb,fumble_lost_rate,oppadj_raw,2,4353,0.007702165944082111,-0.04913537932724932,-0.0686360771625302,-0.0312675537581606,-0.05588822102261659,-0.003449067301396491,shrunk_feature
rb,fumble_lost_rate,oppadj_raw,4,3081,0.00392841536928477,-0.10157842976851383,-0.13656920689053384,-0.0712482917688152,-0.12396557536071051,0.022749877617860514,shrunk_feature
rb,fumble_lost_rate,oppadj_shrunk,2,4353,0.017157346867393574,0.004646634242336245,-0.021336588037488894,0.025871940109660967,-0.0017600353280129433,0.05659731738024243,shrunk_feature
rb,fumble_lost_rate,oppadj_shrunk,4,3081,0.00921449483414014,0.01708212798034736,-0.022231279631952854,0.05122736297224353,-0.002893504177501116,0.14015644940630445,shrunk_feature
rb,rush_epa_per_att,oppadj_raw,2,4353,0.16415725810119686,0.004828955722655182,-0.011060154114906797,0.019599901414756565,0.031088844621189105,0.048093907432257166,shrunk_feature
rb,rush_epa_per_att,oppadj_raw,4,3081,0.20062813709015828,0.0017749258163375359,-0.02158808117786761,0.02285066066372244,0.03783271254996323,0.107284678349862,shrunk_feature
rb,rush_epa_per_att,oppadj_shrunk,2,4353,0.13288986825182073,-0.009549819922556324,-0.019294888348471016,-0.0007607500723116727,0.017089486215970173,0.034271458060152526,shrunk_feature
rb,rush_epa_per_att,oppadj_shrunk,4,3081,0.15993137748819986,-0.01367073270900776,-0.029327211023082174,0.00342886158429834,0.022944980563903372,0.09152871036172905,shrunk_feature
rb,rush_success_rate,oppadj_raw,2,4353,0.20133325077561834,-0.03992970416702635,-0.06197665266162601,-0.016221496128619527,0.007529797942735006,-0.007348859805904828,shrunk_feature
rb,rush_success_rate,oppadj_raw,4,3081,0.2071290618876027,-0.0936203541485543,-0.13048060783776894,-0.0591652323156172,-0.027020337591160182,-0.025863274762803146,shrunk_feature
rb,rush_success_rate,oppadj_shrunk,2,4353,0.1807648382018072,-0.022117074101298373,-0.032890590031374296,-0.011490792170711967,0.024529509067117705,0.013944603723183513,shrunk_feature
rb,rush_success_rate,oppadj_shrunk,4,3081,0.18369572131020806,-0.038769757044526454,-0.05907193832848446,-0.019039332680658272,0.024489931526602948,0.02756130128064116,shrunk_feature
rb,yards_per_carry,oppadj_raw,2,4353,0.19388887682600128,-0.009407205307112365,-0.024404555589591828,0.003968198295533942,0.005608882442894703,0.050796983094232306,shrunk_feature
rb,yards_per_carry,oppadj_raw,4,3081,0.2608860003712926,-0.01664141753345194,-0.05233973399229551,0.01163572662153714,0.008586144014857355,0.08932424816529416,shrunk_feature
rb,yards_per_carry,oppadj_shrunk,2,4353,0.17265530538686186,0.004324270124384855,-0.004534376181173067,0.011823440527209909,0.019136086457532286,0.05871771372306167,shrunk_feature
rb,yards_per_carry,oppadj_shrunk,4,3081,0.23398666612386124,0.010801150807292381,-0.0036347944963888157,0.025376695193307933,0.035347735690752224,0.10472708323357816,shrunk_feature
team_defense,early_down_epa_per_play,oppadj_raw,2,2721,0.05204418432481582,-0.018244044033845164,-0.03001349967689789,-0.007299684218781335,0.008018540345236302,0.0522998172780057,shrunk_feature
team_defense,early_down_epa_per_play,oppadj_raw,4,2342,0.060433941713779235,-0.027452515136421773,-0.047162174071915176,-0.008196831928242304,0.012296391735170498,0.09109668906635093,shrunk_feature
team_defense,early_down_epa_per_play,oppadj_shrunk,2,2721,-0.02183045906176331,-0.022245458838648702,-0.03486427610819963,-0.010933636785135458,0.004120330164670616,0.0485756201526919,shrunk_feature
team_defense,early_down_epa_per_play,oppadj_shrunk,4,2342,-0.037213855560537336,-0.03383980285471733,-0.05433101766511868,-0.014174813569460343,0.0061562080931570895,0.08544637737844407,shrunk_feature
team_defense,epa_per_play,oppadj_raw,2,2721,0.0999622657742752,-0.019616918936251837,-0.030671721358677843,-0.00862984113040259,0.008741007071568552,0.05313935267350112,shrunk_feature
team_defense,epa_per_play,oppadj_raw,4,2342,0.1240303622663947,-0.029451921837068795,-0.05142537409060761,-0.008022011831987736,0.012061552934396813,0.09124301495248022,shrunk_feature
team_defense,epa_per_play,oppadj_shrunk,2,2721,0.036585013675551975,-0.02072017059274378,-0.031470258146493985,-0.01140652080205507,0.007668439418315187,0.05211482516887722,shrunk_feature
