family,metric,horizon,step,n,rmse,mae,bias,spearman,skill_vs_league,skill_vs_prior_season
team_offense,early_down_epa_per_play,2,oppadj_raw,2721,0.13534740070505494,0.10758751830574813,0.0037316488217401475,0.21837461000600472,0.028028112881064993,0.0692443330781537
team_offense,early_down_epa_per_play,2,oppadj_shrunk,2721,0.13510925065882118,0.10707600297119477,0.003483199300806464,0.1892382725655185,0.029738342620605485,0.07088204096138684
team_offense,early_down_epa_per_play,4,baseline_league,2351,0.10987135225348749,0.08690298133926881,0.0006434435551612647,-0.09693245434865441,0.0,0.06284880058220477
team_offense,early_down_epa_per_play,4,baseline_prior,2351,0.11723972857501011,0.09450881533737679,0.002113417609720039,0.19536820465898697,-0.06706367192535168,0.0
team_offense,early_down_epa_per_play,4,baseline_raw_t3,2351,0.13009332747369065,0.10297911047047242,0.004652985604607727,0.32434584150682455,-0.1840513910627808,-0.10963518130679395
team_offense,early_down_epa_per_play,4,raw_feature,2351,0.11014972168004245,0.08698273599853575,0.008094564146620669,0.3728555997364782,-0.0025335942522370924,0.06047443968988264
team_offense,early_down_epa_per_play,4,shrunk_feature,2351,0.1002111810310583,0.07890214689322023,0.004733167470044097,0.3715584299730734,0.08792256602195914,0.145245538785574
team_offense,early_down_epa_per_play,4,oppadj_raw,2342,0.10497444653289334,0.083245278010373,0.002392861663096916,0.2802387230920374,0.0455568598565278,0.10570569873722835
team_offense,early_down_epa_per_play,4,oppadj_shrunk,2342,0.10467328908423755,0.08266636858836873,0.001749093040775278,0.24245731522241726,0.04829502776754002,0.10827130778791583
team_offense,epa_per_play,2,baseline_league,2732,0.15121293143930362,0.12106140521608486,-0.0014524130269558018,-0.06591862569785027,0.0,0.035316958140362065
team_offense,epa_per_play,2,baseline_prior,2732,0.1567488230619329,0.12515390607219307,0.0011301332433193475,0.20176440089593323,-0.03660990875539882,0.0
team_offense,epa_per_play,2,baseline_raw_t3,2732,0.16402369994467833,0.13090395009805522,0.0030116343706217035,0.3082075854826872,-0.08472005921343384,-0.046411046288181934
team_offense,epa_per_play,2,raw_feature,2732,0.14394714110541773,0.1143257717185549,0.00720758352276669,0.37952072115789787,0.0480500593747325,0.08167003557951513
team_offense,epa_per_play,2,shrunk_feature,2732,0.13879246826215869,0.11048874323032372,0.003100524372610361,0.375674036862541,0.08213889552250675,0.11455495772800484
team_offense,epa_per_play,2,oppadj_raw,2721,0.14551148261420455,0.1155438137192019,-0.00021424780696598425,0.2896184531246434,0.03812822929873694,0.07170130138460107
team_offense,epa_per_play,2,oppadj_shrunk,2721,0.14459033104436889,0.11526062799871369,-0.0005542264445404106,0.2683652319945158,0.044217299904327656,0.07757783970407595
team_offense,epa_per_play,4,baseline_league,2351,0.12162921823921391,0.09747832659935098,-0.0047876484696073186,-0.07820570066266459,0.0,0.04867280440730515
team_offense,epa_per_play,4,baseline_prior,2351,0.1278521404651284,0.10325149821985878,-0.0010932971972549407,0.25671350759730666,-0.05116305371358698,0.0
team_offense,epa_per_play,4,baseline_raw_t3,2351,0.13764580378731656,0.10965524234881394,0.003594997087737313,0.3784079362760426,-0.1316837005118463,-0.07660148110589793
team_offense,epa_per_play,4,raw_feature,2351,0.1130272983467677,0.08982996403633065,0.007210077190462253,0.47787180850602096,0.07072247949114019,0.11595302248697337
team_offense,epa_per_play,4,shrunk_feature,2351,0.10571836730073277,0.08450021952929203,0.0017487791950477555,0.4740286946565915,0.13081438135357015,0.17312008296359038
team_offense,epa_per_play,4,oppadj_raw,2342,0.11428106935547977,0.09052941525600489,-0.002096958341060246,0.3637705223679552,0.06091402609672081,0.10623205715925266
team_offense,epa_per_play,4,oppadj_shrunk,2342,0.11306084330485479,0.08995587056253641,-0.0029777534221715513,0.3373463494812393,0.07094103385571293,0.11577518563379807
team_offense,explosive_pass_rate,2,baseline_league,2732,0.03576724059341356,0.028383129070985304,-0.00035270768267201013,-0.038144702841334095,0.0,0.040514231128724876
