family,metric,shrinkage_status,shrinkage_evidence,opponent_adjustment_status,opponent_adjustment_evidence,combined
team_defense,team_defense.epa_per_play,SHRINKAGE_ADDS_VALUE,H2: skill_vs_ref=0.061[0.046] n=2732 | H4: skill_vs_ref=0.125[0.095] n=2351,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=-0.021[-0.031] n=2721 | H4: skill_vs_ref=-0.030[-0.048] n=2342,SHRINKAGE_ONLY
team_defense,team_defense.explosive_rush_rate,SHRINKAGE_ADDS_VALUE,H2: skill_vs_ref=0.076[0.060] n=2732 | H4: skill_vs_ref=0.142[0.114] n=2351,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=-0.007[-0.018] n=2721 | H4: skill_vs_ref=-0.012[-0.031] n=2342,SHRINKAGE_ONLY
team_defense,team_defense.pass_epa_per_dropback,SHRINKAGE_ADDS_VALUE,H2: skill_vs_ref=0.071[0.057] n=2732 | H4: skill_vs_ref=0.138[0.113] n=2351,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=-0.014[-0.025] n=2721 | H4: skill_vs_ref=-0.019[-0.037] n=2342,SHRINKAGE_ONLY
team_defense,team_defense.pass_success_rate,SHRINKAGE_ADDS_VALUE,H2: skill_vs_ref=0.065[0.050] n=2732 | H4: skill_vs_ref=0.128[0.100] n=2351,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=-0.019[-0.030] n=2721 | H4: skill_vs_ref=-0.027[-0.048] n=2342,SHRINKAGE_ONLY
team_defense,team_defense.rush_success_rate,SHRINKAGE_ADDS_VALUE,H2: skill_vs_ref=0.076[0.062] n=2732 | H4: skill_vs_ref=0.144[0.119] n=2351,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=-0.011[-0.021] n=2721 | H4: skill_vs_ref=-0.014[-0.032] n=2342,SHRINKAGE_ONLY
team_defense,team_defense.success_rate,SHRINKAGE_ADDS_VALUE,H2: skill_vs_ref=0.060[0.042] n=2732 | H4: skill_vs_ref=0.120[0.090] n=2351,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=-0.022[-0.035] n=2721 | H4: skill_vs_ref=-0.030[-0.051] n=2342,SHRINKAGE_ONLY
team_offense,team_offense.early_down_epa_per_play,SHRINKAGE_ADDS_VALUE,H2: skill_vs_ref=0.052[0.036] n=2732 | H4: skill_vs_ref=0.090[0.059] n=2351,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=-0.026[-0.044] n=2721 | H4: skill_vs_ref=-0.044[-0.073] n=2342,SHRINKAGE_ONLY
team_offense,team_offense.epa_per_play,SHRINKAGE_ADDS_VALUE,H2: skill_vs_ref=0.036[0.020] n=2732 | H4: skill_vs_ref=0.065[0.032] n=2351,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=-0.042[-0.063] n=2721 | H4: skill_vs_ref=-0.070[-0.107] n=2342,SHRINKAGE_ONLY
team_offense,team_offense.explosive_pass_rate,SHRINKAGE_ADDS_VALUE,H2: skill_vs_ref=0.052[0.039] n=2732 | H4: skill_vs_ref=0.093[0.065] n=2351,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=-0.014[-0.022] n=2721 | H4: skill_vs_ref=-0.025[-0.042] n=2342,SHRINKAGE_ONLY
team_offense,team_offense.pass_epa_per_dropback,SHRINKAGE_ADDS_VALUE,H2: skill_vs_ref=0.044[0.028] n=2732 | H4: skill_vs_ref=0.086[0.058] n=2351,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=-0.027[-0.046] n=2721 | H4: skill_vs_ref=-0.047[-0.081] n=2342,SHRINKAGE_ONLY
