family,metric,stage,horizon,n,spearman,skill_vs_reference,skill_vs_reference_ci_lo,skill_vs_reference_ci_hi,skill_vs_league,skill_vs_prior_season,reference_col
team_offense,pass_epa_per_dropback,shrunk,4,2351,0.4277484327305589,0.08620515149861485,0.0578860963751451,0.1140453916513138,0.1042895579695774,0.1497561469227321,raw_feature
team_offense,pass_success_rate,shrunk,2,2732,0.3507663948495462,0.044165262132026206,0.02887866587030383,0.0577215034481967,0.06996982735520052,0.08826011445333548,raw_feature
team_offense,pass_success_rate,shrunk,4,2351,0.43669137937626157,0.08842615863829328,0.059763550758228326,0.1154554163423958,0.10721784565814985,0.13669730044197337,raw_feature
team_offense,proe,shrunk,2,2732,0.45743269254071744,0.016323338111928987,-0.0008073635986093935,0.03238498659392969,0.12529004576123492,0.13455069857696222,raw_feature
team_offense,proe,shrunk,4,2351,0.5135651074098789,0.030263480306439328,-0.0007507090670426903,0.05836974523007438,0.16251034526821717,0.16911482465823813,raw_feature
team_offense,rush_epa_per_play,shrunk,2,2732,0.1935281830709474,0.05854950326261266,0.0433618338760243,0.07320287961718003,0.023416977227308178,0.054732425046421174,raw_feature
team_offense,rush_epa_per_play,shrunk,4,2351,0.2435113022737897,0.09776955141631005,0.06898229557807613,0.12451476034674522,0.04040677450425045,0.08268640271549499,raw_feature
team_offense,rush_success_rate,shrunk,2,2732,0.22869092673134087,0.05431027091497198,0.03966399642577119,0.06839403879677107,0.034603062425091036,0.0514037171680386,raw_feature
team_offense,rush_success_rate,shrunk,4,2351,0.28925455636158187,0.09477589967005062,0.0663606112236079,0.12200202749698806,0.058582714478503606,0.07407562678578028,raw_feature
team_offense,success_rate,shrunk,2,2732,0.3818625213110905,0.035877880619781144,0.02146785248891362,0.04876876504092572,0.0890962851008642,0.11455271812251289,raw_feature
team_offense,success_rate,shrunk,4,2351,0.4682906969678557,0.06583836165727075,0.03644285186392541,0.09115493709446981,0.13338929130113975,0.16327688579811994,raw_feature
wr,adot,shrunk,2,13728,0.7827985973496715,0.01560279083402738,0.010253388851987398,0.02067921397275903,0.38479567645153145,0.02734943639651688,raw_feature
